City,CrashCount,CrashType,Latitude,Location,Longitude,Year
VANCOUVER,1,Casualty,49.284086,00 BLK COMMERCIAL DR,-123.070334,2009
VANCOUVER,2,PDO,49.284086,00 BLK COMMERCIAL DR,-123.070334,2009
VANCOUVER,2,PDO,49.261152,00 BLK E 11TH AVE,-123.104014,2009
VANCOUVER,1,PDO,49.270252,00 BLK E 1ST AVE,-123.104257,2009
VANCOUVER,1,PDO,49.251849,00 BLK E 21ST AVE,-123.103868,2009
VANCOUVER,1,PDO,49.269276,00 BLK E 2ND AVE,-123.10368,2009
VANCOUVER,1,PDO,49.268271,00 BLK E 3RD AVE,-123.103719,2009
VANCOUVER,1,PDO,49.231707,00 BLK E 42ND AVE,-123.104656,2009
9,1,PDO,49.231707,00 BLK E 42ND AVE,-123.104656,2009
VANCOUVER,1,PDO,49.228549,00 BLK E 46TH AVE,-123.104778,2009
VANCOUVER,1,PDO,49.26736,00 BLK E 4TH AVE,-123.103753,2009
VANCOUVER,1,PDO,49.223797,00 BLK E 51ST AVE,-123.104909,2009
VANCOUVER,1,PDO,49.263749,00 BLK E 8TH AVE,-123.103893,2009
VANCOUVER,1,PDO,49.282348,00 BLK E CORDOVA ST,-123.103251,2009
VANCOUVER,1,PDO,49.280468,00 BLK E PENDER ST,-123.103324,2009
VANCOUVER,1,PDO,49.279217,00 BLK KEEFER ST,-123.103301,2009
VANCOUVER,1,PDO,49.284316,00 BLK KOOTENAY ST,-123.025714,2009
VANCOUVER,1,PDO,49.285237,00 BLK N CASSIAR ST,-123.030865,2009
VANCOUVER,1,PDO,49.211681,00 BLK SE MARINE DR,-123.103871,2009
VANCOUVER,2,PDO,49.260281,00 BLK W 12TH AVE,-123.106009,2009
VANCOUVER,1,PDO,49.249938,00 BLK W 23RD AVE,-123.106183,2009
VANCOUVER,1,PDO,49.233202,00 BLK W 41ST AVE,-123.106873,2009
VANCOUVER,1,PDO,49.225778,00 BLK W 49TH AVE,-123.107145,2009
VANCOUVER,1,PDO,49.216839,00 BLK W 59TH AVE,-123.107989,2009
VANCOUVER,1,PDO,49.266513,00 BLK W 5TH AVE,-123.105721,2009
VANCOUVER,1,PDO,49.263784,00 BLK W 8TH AVE,-123.105828,2009
VANCOUVER,1,PDO,49.281738,00 BLK W HASTINGS ST,-123.10576,2009
VANCOUVER,1,PDO,49.280887,00 BLK W PENDER ST,-123.106589,2009
VANCOUVER,4,PDO,49.280887,00 BLK W PENDER ST,-123.106589,2009
VANCOUVER,1,PDO,49.283698,00 BLK WATER ST,-123.105309,2009
VANCOUVER,1,PDO,49.283698,00 BLK WATER ST,-123.105309,2009
VANCOUVER,1,PDO,49.283698,00 BLK WATER ST,-123.105309,2009
VANCOUVER,1,PDO,49.25454,00 BLK WORTHINGTON PL,-123.032432,2009
VANCOUVER,1,PDO,49.273657,100 BLK AQUARIUS MEWS,-123.118885,2009
